Modify the time out from 300 to 30000
begin download dataset
Dataset download succeed!
Trainable parameters: 18142736
dataset has 54344 batches
Load the trained epoch :1 and step: 54344
[WARNING] ME(177:281473027448848,MainProcess):2023-12-19-10:25:31.281.618 [mindspore/communication/_comm_helper.py:339] 'BroadcastWorldGroup' group has existed.
time: Tue Dec 19 11:31:12 2023 local_rank: 0, epoch: 1, step: 54654, loss is 0.1035
time: Tue Dec 19 11:31:54 2023 local_rank: 0, epoch: 1, step: 54659, loss is 0.1001
time: Tue Dec 19 11:32:38 2023 local_rank: 0, epoch: 1, step: 54664, loss is 0.10046
time: Tue Dec 19 11:33:21 2023 local_rank: 0, epoch: 1, step: 54669, loss is 0.10315
time: Tue Dec 19 11:34:04 2023 local_rank: 0, epoch: 1, step: 54674, loss is 0.1016
time: Tue Dec 19 11:34:47 2023 local_rank: 0, epoch: 1, step: 54679, loss is 0.0951
time: Tue Dec 19 11:35:30 2023 local_rank: 0, epoch: 1, step: 54684, loss is 0.0985
time: Tue Dec 19 11:36:13 2023 local_rank: 0, epoch: 1, step: 54689, loss is 0.0984
time: Tue Dec 19 11:36:56 2023 local_rank: 0, epoch: 1, step: 54694, loss is 0.1029
time: Tue Dec 19 11:37:39 2023 local_rank: 0, epoch: 1, step: 54699, loss is 0.10565
time: Tue Dec 19 11:38:23 2023 local_rank: 0, epoch: 1, step: 54704, loss is 0.10345
time: Tue Dec 19 11:39:05 2023 local_rank: 0, epoch: 1, step: 54709, loss is 0.09985
time: Tue Dec 19 11:39:48 2023 local_rank: 0, epoch: 1, step: 54714, loss is 0.1067
time: Tue Dec 19 11:40:32 2023 local_rank: 0, epoch: 1, step: 54719, loss is 0.1019
time: Tue Dec 19 11:41:15 2023 local_rank: 0, epoch: 1, step: 54724, loss is 0.10156
time: Tue Dec 19 11:41:58 2023 local_rank: 0, epoch: 1, step: 54729, loss is 0.1029
time: Tue Dec 19 11:42:41 2023 local_rank: 0, epoch: 1, step: 54734, loss is 0.09705
time: Tue Dec 19 11:43:24 2023 local_rank: 0, epoch: 1, step: 54739, loss is 0.09595
time: Tue Dec 19 11:44:07 2023 local_rank: 0, epoch: 1, step: 54744, loss is 0.0968
